suite,case,ORDER,READ_SIZE,PROG_SIZE,N,COMMIT,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_rbyd,bench_rbyd_id_commit,0,1,1,545,1,1048576,140599,49165,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,537,1,1048576,138420,48367,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,521,1,1048576,134054,46842,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,473,1,1048576,121125,41760,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,585,1,1048576,151497,53189,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,601,1,1048576,155855,54794,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,465,1,1048576,118967,40945,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,529,1,1048576,136237,47600,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,481,1,1048576,123277,42606,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,553,1,1048576,142782,49946,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,633,1,1048576,164559,58138,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,689,1,1048576,179606,64016,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,617,1,1048576,160209,56453,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,569,1,1048576,147140,51551,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,609,1,1048576,158030,55632,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,681,1,1048576,177497,63154,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,641,1,1048576,166731,59016,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,561,1,1048576,144961,50744,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,697,1,1048576,181715,64887,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,625,1,1048576,162384,57291,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,577,1,1048576,149315,52389,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,649,1,1048576,168908,59843,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,729,1,1048576,190153,68386,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,785,1,1048576,204938,74618,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,665,1,1048576,173224,61464,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,713,1,1048576,185935,66653,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,737,1,1048576,192259,69288,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,777,1,1048576,202804,73804,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,705,1,1048576,183821,65789,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,657,1,1048576,171066,60649,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,793,1,1048576,207072,75441,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,721,1,1048576,188044,67515,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,673,1,1048576,175376,62310,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,881,1,1048576,230489,84981,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,745,1,1048576,194369,70173,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,761,1,1048576,198582,71986,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,825,1,1048576,215592,78849,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,809,1,1048576,211335,77132,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,873,1,1048576,228364,84087,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,801,1,1048576,209200,76295,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,833,1,1048576,217717,79743,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,753,1,1048576,196475,71075,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,817,1,1048576,213463,77986,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,889,1,1048576,232615,85884,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,769,1,1048576,200687,72928,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,977,1,1048576,255611,95900,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,841,1,1048576,219852,80599,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,857,1,1048576,224109,82316,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,921,1,1048576,241084,89437,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,969,1,1048576,253537,94982,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,905,1,1048576,236868,87701,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,849,1,1048576,221980,81453,0
