suite,case,ORDER,DISK_SIZE,AMORTIZED,N,SEED,LOOKAHEAD_SIZE,PROG_SIZE,READ_SIZE,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_btree,bench_btree_lookup,0,1073741824,0,67,1,32768,1,1,4096,8320,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,58,1,32768,1,1,4096,7491,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,75,1,32768,1,1,4096,11135,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,71,1,32768,1,1,4096,9038,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,73,1,32768,1,1,4096,10275,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,72,1,32768,1,1,4096,9155,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,77,1,32768,1,1,4096,10018,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,76,1,32768,1,1,4096,9817,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,69,1,32768,1,1,4096,8714,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,86,1,32768,1,1,4096,11334,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,80,1,32768,1,1,4096,13578,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,78,1,32768,1,1,4096,10179,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,79,1,32768,1,1,4096,10299,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,70,1,32768,1,1,4096,8851,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,83,1,32768,1,1,4096,11237,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,87,1,32768,1,1,4096,11841,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,84,1,32768,1,1,4096,11269,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,85,1,32768,1,1,4096,10726,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,98,1,32768,1,1,4096,10322,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,89,1,32768,1,1,4096,12578,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,81,1,32768,1,1,4096,14361,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,88,1,32768,1,1,4096,11997,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,90,1,32768,1,1,4096,5421,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,82,1,32768,1,1,4096,10807,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,91,1,32768,1,1,4096,5532,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,92,1,32768,1,1,4096,7211,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,99,1,32768,1,1,4096,6774,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,95,1,32768,1,1,4096,8589,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,96,1,32768,1,1,4096,6285,0,0
